review_title,review_body,review_date,review_rating,review_ID
Great product!,"Superb quality, I use it every day!",48:34.1,3,rev4785
Highly recommend,I would definitely recommend this to friends.,48:34.1,3,rev3620
Highly recommend,"Extremely poor quality, do not buy.",48:34.1,4,rev4380
Best purchase ever,It's exactly what I was looking for. Great value for money.,48:34.1,4,rev8229
Highly recommend,"For the price, it works just as expected.",48:34.1,4,rev1622
Not what I expected,I regret buying this. Waste of money.,48:34.1,5,rev8921
Exactly what I needed,I would definitely recommend this to friends.,48:34.1,4,rev2419
Terrible purchase,This is not what was described. Very disappointing.,48:34.1,5,rev5262
Perfect for the price,This product is exactly as described and works perfectly.,48:34.1,4,rev4712
Waste of money,This is not what was described. Very disappointing.,48:34.1,4,rev8501
Would recommend to anyone,The product broke after a few uses. Very upset.,48:34.1,2,rev9669
Not as described,"For the price, it works just as expected.",48:34.1,5,rev1884
Very satisfied,It's exactly what I was looking for. Great value for money.,48:34.1,5,rev3569
Would recommend to anyone,I regret buying this. Waste of money.,48:34.1,2,rev1241
Very satisfied,It's exactly what I was looking for. Great value for money.,48:34.1,2,rev3932
Would not buy again,It's exactly what I was looking for. Great value for money.,48:34.1,3,rev1247
Disappointed,"Extremely poor quality, do not buy.",48:34.1,5,rev8452
Disappointed,"Superb quality, I use it every day!",48:34.1,2,rev3431
Highly recommend,I would definitely recommend this to friends.,48:34.1,4,rev4669
Best purchase ever,I thought this would be better for the price I paid.,48:34.1,3,rev5492
Not as described,I can't believe how great this is! Totally worth it.,48:34.1,5,rev5688
Amazing experience,I regret buying this. Waste of money.,48:34.1,4,rev5101
Waste of money,I would definitely recommend this to friends.,48:34.1,4,rev9891
Terrible purchase,The product broke after a few uses. Very upset.,48:34.1,4,rev1261
Not what I expected,It's exactly what I was looking for. Great value for money.,48:34.1,5,rev9640
Great product!,"Extremely poor quality, do not buy.",48:34.1,3,rev3908
Disappointed,I would definitely recommend this to friends.,48:34.1,2,rev9945
Perfect for the price,This product is exactly as described and works perfectly.,48:34.1,1,rev4304
Best purchase ever,This product is exactly as described and works perfectly.,48:34.1,2,rev3013
Perfect for the price,I would definitely recommend this to friends.,48:34.1,5,rev8524
Best purchase ever,"For the price, it works just as expected.",48:34.1,2,rev2928
Very satisfied,I would definitely recommend this to friends.,48:34.1,5,rev3240
Exactly what I needed,I would definitely recommend this to friends.,48:34.1,4,rev5644
Good quality,Good quality and exactly what I needed.,48:34.1,4,rev5134
Not what I expected,"This was a great experience, will buy again!",48:34.1,2,rev7803
Good quality,Good quality and exactly what I needed.,48:34.1,1,rev9118
Would recommend to anyone,I can't believe how great this is! Totally worth it.,48:34.1,2,rev7120
Amazing experience,"For the price, it works just as expected.",48:34.1,1,rev4735
Very satisfied,The quality is not as good as I anticipated.,48:34.1,2,rev9042
Very satisfied,I thought this would be better for the price I paid.,48:34.1,1,rev9508
Not what I expected,I regret buying this. Waste of money.,48:34.1,2,rev5854
Not as described,"For the price, it works just as expected.",48:34.1,5,rev5509
Exactly what I needed,I would definitely recommend this to friends.,48:34.1,1,rev4277
Great product!,Good quality and exactly what I needed.,48:34.1,1,rev6509
Amazing experience,The quality is not as good as I anticipated.,48:34.1,1,rev6401
Best purchase ever,I thought this would be better for the price I paid.,48:34.1,4,rev8621
Would recommend to anyone,"For the price, it works just as expected.",48:34.1,1,rev3569
Waste of money,"For the price, it works just as expected.",48:34.1,2,rev2297
Amazing experience,This is not what was described. Very disappointing.,48:34.1,2,rev6677
Not as described,It's exactly what I was looking for. Great value for money.,48:34.1,1,rev6841
Good quality,Good quality and exactly what I needed.,48:34.1,4,rev2309
Not what I expected,"Extremely poor quality, do not buy.",48:34.1,4,rev1592
Great product!,I thought this would be better for the price I paid.,48:34.1,3,rev6302
Good quality,It's exactly what I was looking for. Great value for money.,48:34.1,4,rev7065
Not as described,The quality is not as good as I anticipated.,48:34.1,5,rev9490
Waste of money,I thought this would be better for the price I paid.,48:34.1,3,rev9312
Good quality,It's exactly what I was looking for. Great value for money.,48:34.1,4,rev5912
Not what I expected,"Extremely poor quality, do not buy.",48:34.1,3,rev2702
Great product!,"For the price, it works just as expected.",48:34.1,2,rev6786
Perfect for the price,I thought this would be better for the price I paid.,48:34.1,3,rev6670
Good quality,I regret buying this. Waste of money.,48:34.1,5,rev2789
Amazing experience,I thought this would be better for the price I paid.,48:34.1,2,rev8193
Not as described,Good quality and exactly what I needed.,48:34.1,1,rev1397
Amazing experience,I can't believe how great this is! Totally worth it.,48:34.1,4,rev5209
Great product!,"Extremely poor quality, do not buy.",48:34.1,2,rev8062
Highly recommend,This product is exactly as described and works perfectly.,48:34.1,4,rev7960
Not what I expected,This product is exactly as described and works perfectly.,48:34.1,2,rev1289
Disappointed,The quality is not as good as I anticipated.,48:34.1,3,rev1349
Not as described,The product broke after a few uses. Very upset.,48:34.1,2,rev4487
Waste of money,The product broke after a few uses. Very upset.,48:34.1,1,rev4767
Waste of money,This is not what was described. Very disappointing.,48:34.1,3,rev5448
Very satisfied,The quality is not as good as I anticipated.,48:34.1,1,rev8582
Would recommend to anyone,The product broke after a few uses. Very upset.,48:34.1,2,rev9024
